X,Y,ASCII,Foreground,Background
0,0,218,#DEDEDE,#0A0A0A
1,0,192,#DEDEDE,#0A0A0A
2,0,217,#DEDEDE,#0A0A0A
3,0,191,#DEDEDE,#0A0A0A
0,1,249,#DEDEDE,#0A0A0A
1,1,17,#FFFFFF,#040404
2,1,16,#FFFFFF,#040404
3,1,249,#DEDEDE,#0A0A0A
0,2,192,#DEDEDE,#0A0A0A
1,2,8,#DEDEDE,#0A0A0A
2,2,8,#DEDEDE,#0A0A0A
3,2,217,#DEDEDE,#0A0A0A
0,3,32,#000000,#040404
1,3,201,#DEDEDE,#0A0A0A
2,3,187,#DEDEDE,#0A0A0A
3,3,32,#000000,#040404
0,4,32,#000000,#040404
1,4,200,#DEDEDE,#0A0A0A
2,4,188,#DEDEDE,#0A0A0A
3,4,32,#000000,#040404
0,5,218,#DEDEDE,#0A0A0A
1,5,8,#DEDEDE,#0A0A0A
2,5,8,#DEDEDE,#0A0A0A
3,5,191,#DEDEDE,#0A0A0A
0,6,249,#DEDEDE,#0A0A0A
1,6,17,#FFFFFF,#040404
2,6,16,#FFFFFF,#040404
3,6,249,#DEDEDE,#0A0A0A
0,7,192,#DEDEDE,#0A0A0A
1,7,218,#DEDEDE,#0A0A0A
2,7,191,#DEDEDE,#0A0A0A
3,7,217,#DEDEDE,#0A0A0A
