X,Y,ASCII,Foreground,Background
0,0,249,#DEDEDE,#0A0A0A
1,0,32,#000000,#040404
2,0,32,#000000,#040404
3,0,201,#DEDEDE,#0A0A0A
4,0,187,#DEDEDE,#0A0A0A
5,0,32,#000000,#040404
6,0,32,#000000,#040404
7,0,249,#DEDEDE,#0A0A0A
0,1,32,#000000,#040404
1,1,201,#DEDEDE,#0A0A0A
2,1,184,#DEDEDE,#0A0A0A
3,1,211,#DEDEDE,#0A0A0A
4,1,189,#DEDEDE,#0A0A0A
5,1,213,#DEDEDE,#0A0A0A
6,1,187,#DEDEDE,#0A0A0A
7,1,32,#000000,#040404
0,2,32,#000000,#040404
1,2,200,#DEDEDE,#0A0A0A
2,2,184,#DEDEDE,#0A0A0A
3,2,8,#3399FF,#0A0A0A
4,2,8,#3399FF,#0A0A0A
5,2,213,#DEDEDE,#0A0A0A
6,2,188,#DEDEDE,#0A0A0A
7,2,32,#000000,#040404
0,3,201,#DEDEDE,#0A0A0A
1,3,205,#DEDEDE,#0A0A0A
2,3,190,#DEDEDE,#0A0A0A
3,3,201,#DEDEDE,#0A0A0A
4,3,187,#DEDEDE,#0A0A0A
5,3,212,#DEDEDE,#0A0A0A
6,3,205,#DEDEDE,#0A0A0A
7,3,187,#DEDEDE,#0A0A0A
0,4,200,#DEDEDE,#0A0A0A
1,4,205,#DEDEDE,#0A0A0A
2,4,184,#DEDEDE,#0A0A0A
3,4,200,#DEDEDE,#0A0A0A
4,4,188,#DEDEDE,#0A0A0A
5,4,213,#DEDEDE,#0A0A0A
6,4,205,#DEDEDE,#0A0A0A
7,4,188,#DEDEDE,#0A0A0A
0,5,32,#000000,#040404
1,5,201,#DEDEDE,#0A0A0A
2,5,190,#DEDEDE,#0A0A0A
3,5,8,#3399FF,#0A0A0A
4,5,8,#3399FF,#0A0A0A
5,5,212,#DEDEDE,#0A0A0A
6,5,187,#DEDEDE,#0A0A0A
7,5,32,#000000,#040404
0,6,32,#000000,#040404
1,6,200,#DEDEDE,#0A0A0A
2,6,190,#DEDEDE,#0A0A0A
3,6,214,#DEDEDE,#0A0A0A
4,6,183,#DEDEDE,#0A0A0A
5,6,212,#DEDEDE,#0A0A0A
6,6,188,#DEDEDE,#0A0A0A
7,6,32,#000000,#040404
0,7,249,#DEDEDE,#0A0A0A
1,7,32,#000000,#040404
2,7,32,#000000,#040404
3,7,200,#DEDEDE,#0A0A0A
4,7,188,#DEDEDE,#0A0A0A
5,7,32,#000000,#040404
6,7,32,#000000,#040404
7,7,249,#DEDEDE,#0A0A0A
