X,Y,ASCII,Foreground,Background
0,0,32,#000000,#040404
1,0,32,#000000,#040404
2,0,32,#000000,#040404
3,0,32,#000000,#040404
4,0,201,#DEDEDE,#0A0A0A
5,0,187,#DEDEDE,#0A0A0A
6,0,32,#000000,#040404
7,0,32,#000000,#040404
8,0,32,#000000,#040404
9,0,32,#000000,#040404
10,0,32,#000000,#040404
11,0,32,#000000,#040404
12,0,32,#000000,#040404
13,0,201,#DEDEDE,#0A0A0A
14,0,187,#DEDEDE,#0A0A0A
15,0,32,#000000,#040404
16,0,32,#000000,#040404
17,0,32,#000000,#040404
18,0,32,#000000,#040404
0,1,32,#000000,#040404
1,1,32,#000000,#040404
2,1,32,#000000,#040404
3,1,201,#DEDEDE,#0A0A0A
4,1,206,#DEDEDE,#0A0A0A
5,1,202,#DEDEDE,#0A0A0A
6,1,187,#DEDEDE,#0A0A0A
7,1,32,#000000,#040404
8,1,32,#000000,#040404
9,1,32,#000000,#040404
10,1,32,#000000,#040404
11,1,32,#000000,#040404
12,1,201,#DEDEDE,#0A0A0A
13,1,202,#DEDEDE,#0A0A0A
14,1,206,#DEDEDE,#0A0A0A
15,1,187,#DEDEDE,#0A0A0A
16,1,32,#000000,#040404
17,1,32,#000000,#040404
18,1,32,#000000,#040404
0,2,32,#000000,#040404
1,2,32,#000000,#040404
2,2,32,#000000,#040404
3,2,204,#DEDEDE,#0A0A0A
4,2,188,#DEDEDE,#0A0A0A
5,2,4,#3399FF,#0A0A0A
6,2,186,#DEDEDE,#0A0A0A
7,2,32,#000000,#040404
8,2,32,#000000,#040404
9,2,249,#DEDEDE,#0A0A0A
10,2,32,#000000,#040404
11,2,32,#000000,#040404
12,2,186,#DEDEDE,#0A0A0A
13,2,4,#3399FF,#0A0A0A
14,2,200,#DEDEDE,#0A0A0A
15,2,185,#DEDEDE,#0A0A0A
16,2,32,#000000,#040404
17,2,32,#000000,#040404
18,2,32,#000000,#040404
0,3,32,#000000,#040404
1,3,32,#000000,#040404
2,3,32,#000000,#040404
3,3,186,#DEDEDE,#0A0A0A
4,3,4,#3399FF,#0A0A0A
5,3,201,#DEDEDE,#0A0A0A
6,3,185,#DEDEDE,#0A0A0A
7,3,32,#000000,#040404
8,3,213,#DEDEDE,#0A0A0A
9,3,203,#DEDEDE,#0A0A0A
10,3,184,#DEDEDE,#0A0A0A
11,3,32,#000000,#040404
12,3,204,#DEDEDE,#0A0A0A
13,3,187,#DEDEDE,#0A0A0A
14,3,4,#3399FF,#0A0A0A
15,3,186,#DEDEDE,#0A0A0A
16,3,32,#000000,#040404
17,3,32,#000000,#040404
18,3,32,#000000,#040404
0,4,32,#000000,#040404
1,4,32,#000000,#040404
2,4,32,#000000,#040404
3,4,204,#DEDEDE,#0A0A0A
4,4,205,#DEDEDE,#0A0A0A
5,4,202,#DEDEDE,#0A0A0A
6,4,206,#DEDEDE,#0A0A0A
7,4,187,#DEDEDE,#0A0A0A
8,4,195,#DEDEDE,#0A0A0A
9,4,186,#DEDEDE,#0A0A0A
10,4,180,#DEDEDE,#0A0A0A
11,4,201,#DEDEDE,#0A0A0A
12,4,206,#DEDEDE,#0A0A0A
13,4,202,#DEDEDE,#0A0A0A
14,4,205,#DEDEDE,#0A0A0A
15,4,185,#DEDEDE,#0A0A0A
16,4,32,#000000,#040404
17,4,32,#000000,#040404
18,4,32,#000000,#040404
0,5,32,#000000,#040404
1,5,32,#000000,#040404
2,5,201,#DEDEDE,#0A0A0A
3,5,185,#DEDEDE,#0A0A0A
4,5,218,#DEDEDE,#0A0A0A
5,5,191,#DEDEDE,#0A0A0A
6,5,200,#DEDEDE,#0A0A0A
7,5,206,#DEDEDE,#0A0A0A
8,5,203,#DEDEDE,#0A0A0A
