X,Y,ASCII,Foreground,Background
0,0,32,#000000,#040404
1,0,32,#000000,#040404
2,0,218,#DEDEDE,#0A0A0A
3,0,193,#DEDEDE,#0A0A0A
4,0,194,#DEDEDE,#0A0A0A
5,0,193,#DEDEDE,#0A0A0A
6,0,191,#DEDEDE,#0A0A0A
7,0,32,#000000,#040404
8,0,32,#000000,#040404
0,1,218,#DEDEDE,#0A0A0A
1,1,196,#DEDEDE,#0A0A0A
2,1,217,#DEDEDE,#0A0A0A
3,1,201,#DEDEDE,#0A0A0A
4,1,216,#DEDEDE,#0A0A0A
5,1,187,#DEDEDE,#0A0A0A
6,1,192,#DEDEDE,#0A0A0A
7,1,196,#DEDEDE,#0A0A0A
8,1,191,#DEDEDE,#0A0A0A
0,2,179,#DEDEDE,#0A0A0A
1,2,32,#000000,#040404
2,2,201,#DEDEDE,#0A0A0A
3,2,188,#DEDEDE,#0A0A0A
4,2,4,#3399FF,#0A0A0A
5,2,200,#DEDEDE,#0A0A0A
6,2,187,#DEDEDE,#0A0A0A
7,2,32,#000000,#040404
8,2,179,#DEDEDE,#0A0A0A
0,3,179,#DEDEDE,#0A0A0A
1,3,201,#DEDEDE,#0A0A0A
2,3,188,#DEDEDE,#0A0A0A
3,3,4,#3399FF,#0A0A0A
4,3,4,#3399FF,#0A0A0A
5,3,4,#3399FF,#0A0A0A
6,3,200,#DEDEDE,#0A0A0A
7,3,187,#DEDEDE,#0A0A0A
8,3,179,#DEDEDE,#0A0A0A
0,4,195,#DEDEDE,#0A0A0A
1,4,215,#DEDEDE,#0A0A0A
2,4,4,#3399FF,#0A0A0A
3,4,4,#3399FF,#0A0A0A
4,4,197,#DEDEDE,#0A0A0A
5,4,4,#3399FF,#0A0A0A
6,4,4,#3399FF,#0A0A0A
7,4,215,#DEDEDE,#0A0A0A
8,4,180,#DEDEDE,#0A0A0A
0,5,179,#DEDEDE,#0A0A0A
1,5,200,#DEDEDE,#0A0A0A
2,5,187,#DEDEDE,#0A0A0A
3,5,4,#3399FF,#0A0A0A
4,5,4,#3399FF,#0A0A0A
5,5,4,#3399FF,#0A0A0A
6,5,201,#DEDEDE,#0A0A0A
7,5,188,#DEDEDE,#0A0A0A
8,5,179,#DEDEDE,#0A0A0A
0,6,179,#DEDEDE,#0A0A0A
1,6,32,#000000,#040404
2,6,200,#DEDEDE,#0A0A0A
3,6,187,#DEDEDE,#0A0A0A
4,6,4,#3399FF,#0A0A0A
5,6,201,#DEDEDE,#0A0A0A
6,6,188,#DEDEDE,#0A0A0A
7,6,32,#000000,#040404
8,6,179,#DEDEDE,#0A0A0A
0,7,195,#DEDEDE,#0A0A0A
1,7,8,#DEDEDE,#0A0A0A
2,7,8,#DEDEDE,#0A0A0A
3,7,200,#DEDEDE,#0A0A0A
4,7,216,#DEDEDE,#0A0A0A
5,7,188,#DEDEDE,#0A0A0A
6,7,8,#DEDEDE,#0A0A0A
7,7,8,#DEDEDE,#0A0A0A
8,7,180,#DEDEDE,#0A0A0A
0,8,192,#DEDEDE,#0A0A0A
1,8,196,#DEDEDE,#0A0A0A
2,8,196,#DEDEDE,#0A0A0A
3,8,191,#DEDEDE,#0A0A0A
4,8,249,#DEDEDE,#0A0A0A
5,8,218,#DEDEDE,#0A0A0A
6,8,196,#DEDEDE,#0A0A0A
7,8,196,#DEDEDE,#0A0A0A
8,8,217,#DEDEDE,#0A0A0A
